Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative
41,1102,1,2,1,1,2,94,3,2,4,5993,8,11,80,0,8,0,1,6,0,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
49,279,8,1,1,2,3,61,2,2,2,5130,1,23,80,1,10,3,3,10,1,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1373,2,2,1,4,4,92,2,1,3,2090,6,15,80,0,7,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
33,1392,3,4,1,5,4,56,3,1,3,2909,1,11,80,0,8,3,3,8,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27,591,2,1,1,7,1,40,3,1,2,3468,9,12,80,1,6,3,3,2,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
32,1005,2,2,1,8,4,79,3,1,4,3068,0,13,80,0,8,2,2,7,3,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
59,1324,3,3,1,10,3,81,4,1,1,2670,4,20,80,3,12,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
30,1358,24,1,1,11,4,67,3,1,3,2693,1,22,80,1,1,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38,216,23,3,1,12,4,44,2,3,3,9526,0,21,80,0,10,2,3,9,1,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36,1299,27,3,1,13,3,94,3,2,3,5237,6,13,80,2,17,3,2,7,7,7,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
35,809,16,3,1,14,1,84,4,1,2,2426,0,13,80,1,6,5,3,5,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,153,15,2,1,15,4,49,2,2,3,4193,0,12,80,0,10,3,3,9,0,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31,670,26,1,1,16,1,31,3,1,3,2911,1,17,80,1,5,1,2,5,4,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1346,19,2,1,18,2,93,3,1,4,2661,0,11,80,1,3,2,3,2,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28,103,24,3,1,19,3,50,2,1,3,2028,5,14,80,0,6,4,3,4,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
29,1389,21,4,1,20,2,51,4,3,1,9980,1,11,80,1,10,1,3,10,8,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,334,5,2,1,21,1,80,4,1,2,3298,0,12,80,2,7,5,2,6,0,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,1123,16,2,1,22,4,96,4,1,4,2935,1,13,80,2,1,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
53,1219,2,4,1,23,1,78,2,4,4,15427,2,16,80,0,31,3,3,25,3,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
38,371,2,3,1,24,4,45,3,1,4,3944,5,11,80,0,6,3,3,3,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,673,11,2,1,26,1,96,4,2,3,4011,0,18,80,1,5,5,2,4,1,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36,1218,9,4,1,27,3,82,2,1,1,3407,7,23,80,0,10,4,3,5,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,419,7,4,1,28,1,53,3,3,2,11994,0,11,80,0,13,4,3,12,2,11,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
21,391,15,2,1,30,3,96,3,1,4,1232,1,14,80,0,0,6,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34,699,6,1,1,31,2,83,3,1,1,2960,2,11,80,0,8,2,3,4,1,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
53,1282,5,3,1,32,3,58,3,5,3,19094,4,11,80,1,26,3,2,14,4,8,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32,1125,16,1,1,33,2,72,1,1,1,3919,1,22,80,0,10,5,3,10,6,7,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
42,691,8,4,1,35,3,48,3,2,2,6825,0,11,80,1,10,2,3,9,4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44,477,7,4,1,36,1,42,2,3,4,10248,3,14,80,1,24,4,3,22,5,17,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
46,705,2,4,1,38,2,83,3,5,1,18947,3,12,80,0,22,2,2,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
33,924,2,3,1,39,3,78,3,1,4,2496,4,11,80,0,7,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
44,1459,10,4,1,40,4,41,3,2,4,6465,2,13,80,0,9,5,4,4,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
30,125,9,2,1,41,4,83,2,1,3,2206,1,13,80,0,10,5,3,10,1,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
39,895,5,3,1,42,4,56,3,2,4,2086,3,14,80,1,19,6,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
24,813,1,3,1,45,2,61,3,1,4,2293,2,16,80,1,6,2,2,2,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
43,1273,2,2,1,46,4,72,4,1,3,2645,1,12,80,2,6,3,2,5,1,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
50,869,3,2,1,47,1,86,2,1,3,2683,1,14,80,0,3,2,3,3,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35,890,2,3,1,49,4,97,3,1,4,2014,1,13,80,0,2,3,3,2,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36,852,5,4,1,51,2,82,2,1,1,3419,9,14,80,1,6,3,4,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33,1141,1,3,1,52,3,42,4,2,1,5376,2,19,80,2,10,3,3,5,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
35,464,4,2,1,53,3,75,3,1,4,1951,1,12,80,1,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
27,1240,2,4,1,54,4,33,3,1,1,2341,1,13,80,1,1,6,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,1357,25,3,1,55,1,48,1,1,3,2293,1,12,80,0,1,2,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,994,8,3,1,56,4,37,3,3,3,8726,1,15,80,0,9,0,3,9,1,7,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,721,1,2,1,57,3,58,3,2,4,4011,1,23,80,0,12,2,3,12,3,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
41,1360,12,3,1,58,2,49,3,5,3,19545,1,12,80,0,23,0,3,22,15,8,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
34,1065,23,4,1,60,2,72,3,2,3,4568,0,20,80,0,10,2,3,9,8,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
37,408,19,2,1,61,2,73,3,1,2,3022,4,21,80,0,8,1,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
46,1211,5,4,1,62,1,98,3,2,4,5772,4,21,80,0,14,4,3,9,0,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35,1229,8,1,1,63,4,36,4,1,4,2269,1,19,80,0,1,2,3,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
48,626,1,2,1,64,1,98,2,3,3,5381,9,13,80,0,23,2,3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
28,1434,5,4,1,65,3,50,3,1,3,3441,1,13,80,0,2,3,2,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
44,1488,1,5,1,68,2,75,3,2,1,5454,5,21,80,1,9,2,2,4,1,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35,1097,11,2,1,70,3,79,2,3,1,9884,2,13,80,1,10,3,3,4,2,3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
26,1443,23,3,1,72,3,47,2,2,4,4157,7,19,80,1,5,2,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,515,1,2,1,73,1,98,3,3,4,13458,1,12,80,0,15,1,3,15,8,12,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
35,853,18,5,1,74,2,71,3,3,1,9069,1,22,80,1,9,3,2,9,1,8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
35,1142,23,4,1,75,3,30,3,1,1,4014,3,15,80,1,4,3,3,2,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
31,655,7,4,1,76,4,48,3,2,4,5915,3,22,80,1,10,3,2,7,1,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
37,1115,1,4,1,77,1,51,2,2,3,5993,1,18,80,1,7,2,4,7,0,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,427,1,3,1,78,1,33,3,2,4,6162,1,22,80,1,9,3,3,9,7,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
38,653,29,5,1,79,4,50,3,2,4,2406,1,11,80,0,10,2,3,10,9,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
50,989,7,2,1,80,2,43,2,5,3,18740,5,12,80,1,29,2,2,27,13,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
59,1435,25,3,1,81,1,99,3,3,1,7637,7,11,80,0,28,3,2,21,7,9,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
36,1223,8,3,1,83,3,59,3,3,3,10096,1,13,80,3,17,2,3,17,12,8,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
55,836,8,3,1,84,4,33,3,4,3,14756,2,14,80,3,21,2,3,5,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
36,1195,11,3,1,85,2,95,2,2,2,6499,1,13,80,0,6,3,3,6,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45,1339,7,3,1,86,2,59,3,3,1,9724,2,17,80,1,25,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35,664,1,3,1,88,2,79,3,1,1,2194,4,13,80,1,5,2,2,3,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
36,318,9,3,1,90,4,79,2,1,3,3388,0,17,80,1,2,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
59,1225,1,1,1,91,1,57,2,2,3,5473,7,11,80,0,20,2,2,4,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
29,1328,2,3,1,94,3,76,3,1,2,2703,0,23,80,1,6,3,3,5,0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,1082,1,4,1,95,3,87,3,1,2,2501,1,17,80,0,1,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
32,548,1,3,1,96,2,66,3,2,2,6220,1,17,80,2,10,3,3,10,0,9,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
36,132,6,3,1,97,2,55,4,1,4,3038,3,12,80,0,5,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31,746,8,4,1,98,3,61,3,2,4,4424,1,23,80,0,11,2,3,11,1,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
35,776,1,4,1,100,3,32,2,2,1,4312,0,14,80,0,16,2,3,15,2,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
45,193,6,4,1,101,4,52,3,3,1,13245,4,14,80,0,17,3,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
37,397,7,4,1,102,1,30,3,3,3,13664,4,13,80,0,16,3,4,5,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
46,945,5,2,1,103,2,80,3,2,2,5021,8,22,80,1,16,2,3,4,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
30,852,1,1,1,104,4,55,2,2,4,5126,1,12,80,2,10,1,2,10,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
35,1214,1,3,1,105,2,30,2,1,3,2859,1,18,80,0,6,3,3,6,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
55,111,1,2,1,106,1,70,3,3,4,10239,3,14,80,1,24,4,3,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
38,573,6,3,1,107,2,79,1,2,4,5329,7,12,80,3,17,3,3,13,1,9,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34,1153,1,2,1,110,1,94,3,2,2,4325,1,15,80,0,5,2,3,5,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
56,1400,7,3,1,112,4,49,1,3,4,7260,4,11,80,0,37,3,2,6,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,541,2,1,1,113,3,62,3,1,1,2322,3,13,80,1,3,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
51,432,9,4,1,116,4,96,3,1,4,2075,3,23,80,2,10,4,3,4,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,288,2,3,1,117,3,99,2,2,4,4152,1,19,80,3,11,3,3,11,10,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
46,669,9,2,1,118,3,64,2,3,4,9619,1,16,80,0,9,3,3,9,4,7,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
40,530,1,4,1,119,3,78,2,4,2,13503,1,22,80,1,22,3,2,22,11,11,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
51,632,21,4,1,120,3,71,3,2,4,5441,0,22,80,0,11,2,1,10,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30,1334,4,2,1,121,3,63,2,2,2,5209,1,12,80,3,11,4,2,11,2,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
46,638,1,3,1,124,3,40,2,3,1,10673,2,13,80,1,21,5,2,10,9,5,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
32,1093,6,4,1,125,2,87,3,2,3,5010,1,16,80,0,12,0,3,11,5,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
54,1217,2,4,1,126,1,60,3,3,3,13549,9,12,80,1,16,5,1,4,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,1353,3,2,1,128,1,33,3,2,3,4999,0,21,80,1,4,2,2,3,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
28,120,4,3,1,129,2,43,3,2,3,4221,1,15,80,0,5,3,4,5,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
58,682,10,4,1,131,4,37,3,4,3,13872,0,13,80,0,38,1,2,37,1,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
44,489,23,3,1,132,2,67,3,2,2,2042,4,12,80,1,17,3,4,3,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
37,807,6,4,1,133,3,63,3,1,1,2073,4,22,80,0,7,3,3,3,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
